ID;AtcCode;Name;FormOfInjection;Strength;LegalStatus;Reimbursement;Manufacturer;Spc;Pil;ValidFrom;ValidTo
1;B05BA03;GLUCOSE B. BRAUN 10%;solution for infusion;10%;Hospital use;No;B. Braun Melsungen AG;SPC_1033119.pdf;PIL_1033119.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
2;R03AC02;VENTILASTIN NOVOLIZER;inhalation powder;100mcg 1annust;Hospital use,Prescription;No;Meda Pharma GmbH & Co. KG;SPC_1282788.pdf;PIL_1282788.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
3;B05XA02;SODIUM BICARBONATE BRAUN 4,2%;solution for infusion;4,20%;Hospital use;No;B. BRAUN MELSUNGEN AG;SPC_1033131.pdf;PIL_1033131.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
4;R01AD81;BILENI;nasal spray, suspension;50mcg +137mcg 1pihustus;Hospital use,Prescription;No;Meda Pharma SIA;SPC_1544622.pdf;PIL_1544622.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
5;V03AN01;CONOXIA;medicinal gas, cryogenic;100%;Hospital use;No;Aga AB;SPC_1237957.pdf;PIL_1237957.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
6;N03AF02;OXCARBAZEPINE TEVA 600 MG;film-coated tablet;600mg;Hospital use,Prescription;Yes;Teva Pharma B.V.;SPC_1326989.pdf;PIL_1326989.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
7;B05BA03;GLUCOSE FRESENIUS 20%;solution for infusion;20% 1ml;Hospital use;No;Fresenius Kabi Polska Sp.zo.o.;SPC_1041714.pdf;PIL_1041714.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
8;B05BC01;MANNITOL FRESENIUS 10%;solution for infusion;10%;Hospital use;No;Fresenius Kabi Polska Sp.zo.o.;SPC_1553093.pdf;PIL_1553093.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
9;C09DB02;SANORAL;film-coated tablet;20mg +5mg;Hospital use,Prescription;No;Menarini International Operations Luxembourg S.A.;SPC_1308428.pdf;PIL_1308428.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
10;C09DA01;SARTENS PLUS 100/25 MG;film-coated tablet;100mg +25mg;Hospital use,Prescription;No;G.L. Pharma GmbH;SPC_1266397.pdf;PIL_1266397.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
11;L04AA18;CERTICAN 1 MG TABLETID;tablet;1mg;Hospital use,Prescription;No;SIA Novartis Baltics;SPC_1156159.pdf;PIL_1156159.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
