ATC;Toimeained;Ravimi nimetus;Ravimivorm;Tugevus;Retseptinõue;Soodustused;Müügiloa hoidja;Ravimiinfo tervishoiu töötajale;Ravimiinfo patsiendile;
"V09IX04";"fludeoksüglükoos (18F)";"[18F]FDG-FR";"süstelahus";"";"R";"";"Life Radiopharma Berlin GmbH";"SPC_1299371.pdf";"";
"L01BC02";"fluorouratsiil";"5-FLUOROURACIL "EBEWE"";"süste-/infusioonilahus";"50mg 1ml";"R";"";"Sandoz Pharmaceuticals d.d.";"SPC_1069422.pdf";"";
"J05AR02";"lamivudiin +abakaviir";"ABACAVIR/LAMIVUDINE MYLAN";"õhukese polümeerikattega tablett";"300mg +600mg";"R";"";"Mylan S.A.S";"SPC_1733565.pdf";"";
"J05AR02";"lamivudiin +abakaviir";"ABACAVIR/LAMIVUDINE SANDOZ";"õhukese polümeerikattega tablett";"300mg +600mg";"R";"";"Sandoz d.d.";"SPC_1672499.pdf";"";
"J05AR02";"lamivudiin +abakaviir";"ABACAVIR/LAMIVUDINE ZENTIVA";"õhukese polümeerikattega tablett";"300mg +600mg";"R";"";"Zentiva k.s.";"SPC_1724116.pdf";"";
"J05AR02";"lamivudiin +abakaviir";"ABACAVIR/LAMIVUDINE TEVA";"õhukese polümeerikattega tablett";"300mg +600mg";"R";"";"Teva B.V.";"SPC_1712809.pdf";"";
"J05AR02";"lamivudiin +abakaviir";"ABAKAVIIR/LAMIVUDIIN VALE";"õhukese polümeerikattega tablett";"300mg +600mg";"R";"";"Mylan Ireland Limited";"SPC_1707128.pdf";"";
"A10AE04";"glargiin-insuliin";"ABASAGLAR";"süstelahus kolbampullis";"100ühik 1ml";"R";"";"Eli Lilly Nederland B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#944_et";"";
"A10AE04";"glargiin-insuliin";"ABASAGLAR KWIKPEN";"süstelahus pen-süstlis";"100ühik 1ml";"R";"Jah";"Eli Lilly Nederland B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#944_et";"";
"N05AX12";"aripiprasool";"ABILIFY";"tablett";"30mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#276_et";"";
"N05AX12";"aripiprasool";"ABILIFY";"suus dispergeeruv tablett";"15mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#276_et";"";
"N05AX12";"aripiprasool";"ABILIFY";"süstelahus";"7,5mg 1ml";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#276_et";"";
"N05AX12";"aripiprasool";"ABILIFY";"tablett";"10mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#276_et";"";
"N05AX12";"aripiprasool";"ABILIFY";"suus dispergeeruv tablett";"10mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#276_et";"";
"N05AX12";"aripiprasool";"ABILIFY";"tablett";"5mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#276_et";"";
"N05AX12";"aripiprasool";"ABILIFY";"suus dispergeeruv tablett";"30mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#276_et";"";
"N05AX12";"aripiprasool";"ABILIFY";"suukaudne lahus";"1mg 1ml";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#276_et";"";
"N05AX12";"aripiprasool";"ABILIFY";"tablett";"15mg";"R";"Jah";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#276_et";"";
"N05AX12";"aripiprasool";"ABILIFY MAINTENA";"toimeainet prolongeeritult vabastava süstesuspensiooni pulber ja lahusti";"300mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#882_et";"";
"N05AX12";"aripiprasool";"ABILIFY MAINTENA";"toimeainet prolongeeritult vabastava süstesuspensiooni pulber ja lahusti";"400mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#882_et";"";
